Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/4/2019,GSTEEL,0.1,0.1,0.07,0.08,-11.11,65313321,5708190,5708190,5708190.0,5708190.0
7/5/2019,GSTEEL,0.08,0.09,0.08,0.09,12.5,24496507,2018270,7726460,7726460.0,7726460.0
7/8/2019,GSTEEL,0.08,0.09,0.08,0.08,-11.11,40860578,3269910,10996370,10996370.0,10996370.0
7/9/2019,GSTEEL,0.07,0.08,0.07,0.07,-12.5,17530939,1318320,12314690,12314690.0,12314690.0
7/10/2019,GSTEEL,0.07,0.08,0.07,0.08,14.29,27627179,2177110,14491800,14491800.0,14491800.0
7/11/2019,GSTEEL,0.08,0.08,0.07,0.08,0.0,10444027,835480,9619090,15327280.0,15327280.0
7/12/2019,GSTEEL,0.07,0.09,0.07,0.08,0.0,11384495,909480,8510300,16236760.0,16236760.0
7/15/2019,GSTEEL,0.08,0.08,0.07,0.07,-12.5,4292035,341160,5581550,16577920.0,16577920.0
7/17/2019,GSTEEL,0.07,0.08,0.07,0.07,0.0,4359872,305300,4568530,16883220.0,16883220.0
7/18/2019,GSTEEL,0.07,0.08,0.07,0.08,14.29,4710100,336050,2727470,17219270.0,17219270.0
7/19/2019,GSTEEL,0.07,0.08,0.07,0.08,0.0,74650300,5785090,7677080,23004360.0,23004360.0
7/22/2019,GSTEEL,0.08,0.08,0.07,0.07,-12.5,18669033,1437850,8205450,24442210.0,24442210.0
7/23/2019,GSTEEL,0.07,0.08,0.07,0.07,0.0,5904133,415290,8279580,24857500.0,24857500.0
7/24/2019,GSTEEL,0.08,0.09,0.07,0.09,28.57,75625487,6477260,14451540,25626570.0,31334760.0
7/25/2019,GSTEEL,0.1,0.11,0.08,0.09,0.0,38235000,3624340,17739830,27232640.0,34959100.0
7/26/2019,GSTEEL,0.08,0.09,0.08,0.09,0.0,14785034,1295900,13250640,25258630.0,36255000.0
7/30/2019,GSTEEL,0.09,0.09,0.07,0.08,-11.11,61264632,4903230,16716020,28843540.0,41158230.0
7/31/2019,GSTEEL,0.09,0.09,0.08,0.09,12.5,88478745,7768830,24069560,34435260.0,48927060.0
